ID,gender,strain, the number of alive littermates,birth parity,the year-season at birth,lg,birth weight ,AGE,BF
3435,2,31,1,1,114,108,1.2,149.0627404,12.57405473
3442,2,1,1,1,114,107,1.9,168.8534615,11.02632993
17821,2,18,1,1,114,109,1.7,152.2932051,11.38956999
3441,2,1,1,1,114,107,2,147.1555063,17.07679783
3438,2,18,1,1,114,109,1.9,138.1761111,11.33580048
3443,2,1,1,1,114,107,1.7,152.5283333,15.81203221
17809,2,31,1,1,114,108,1.2,191.6363115,10.72027257
3445,2,31,2,1,114,110,1.5,144.64625,21.04615385
3440,2,18,1,1,114,109,1.5,156.5283333,18.27456182
3387,2,1,1,1,114,57,1.6,153.0665152,12.31250461
3425,2,1,1,1,114,100,1.7,141.0536139,18.03520464
17788,2,31,1,1,114,99,1.6,210.7233333,11.8202765
3404,2,1,2,1,114,54,1.5,180.5130392,15.15401443
3428,2,1,1,1,114,100,1.3,160.2066667,13.23493151
3421,2,18,1,1,114,51,1.2,163.9179797,17.23556889
17819,2,31,3,1,114,111,1.3,150.9529747,11.5082768
17817,2,31,3,1,114,111,1.1,147.7462883,14.68185617
17816,2,18,1,1,114,109,1.7,142.8928037,14.39393939
17815,2,18,1,1,114,109,1.5,142.4440698,17.6590109
17825,2,1,1,1,114,107,1.7,144.0653067,16.24631625
17814,1,18,1,1,114,109,2,124.6946209,14.94873847
17772,1,1,2,1,114,54,1.9,152.172732,10.79594138
17768,1,1,1,1,114,58,1.5,147.9689216,9.525915291
17771,1,1,1,1,114,56,0.6,134.8503448,10.12040816
17826,1,31,2,1,114,110,1.5,161.1376277,11.51408776
17752,1,18,1,1,114,102,1.7,142.8396575,16.47028754
17806,1,31,1,1,114,112,2.5,132.9430374,14.75616627
17781,1,31,1,1,114,98,1.6,147,9.1
17759,1,18,1,1,114,45,1.6,139.7944643,16.40158103
17787,1,31,1,1,114,99,1.5,149.1077083,11.10591806
17824,1,1,1,1,114,107,1.9,148.4470513,14.51857274
17805,1,31,1,1,114,105,2.1,152.2264286,11.62814112
17780,1,31,1,1,114,98,1.7,137.8559091,12.64460817
17786,1,31,1,1,114,99,1.6,140.3054762,15.58783642
17812,1,18,1,1,114,109,1.8,151.6188217,13.31598817
3414,1,18,1,1,114,113,1.5,164.267071,14.32948691
17674,1,1,2,1,414,35,1.7,154.3640741,10.2506812
17695,1,18,2,1,414,37,1.5,137.2093548,8.447482014
17730,1,31,2,1,114,43,2.3,131.7999206,8.645953928
17681,1,31,1,1,414,40,2,146.9236957,15.74233365
17650,1,18,1,1,414,23,1.7,132.5471429,13.76788009
17702,1,1,2,1,414,33,1.6,142.6089655,11.16734694
3332,1,1,2,1,414,33,1.8,131.5943893,9.507035033
17193,1,31,2,1,413,5,0.6,183.3872222,15.19102185
17649,1,31,2,1,414,26,2.1,152.1913158,12.23486714
17728,1,31,2,1,114,43,1.9,131.1275984,8.021108179
17700,2,1,2,1,414,33,1.3,132.2496154,13.02857143
17691,1,1,1,1,414,36,1.5,141.8645798,12.26982249
17727,1,31,2,1,114,97,1.6,163.994235,11.16734694
17726,1,31,2,1,114,34,1.4,150.8664563,10.02518677
17648,1,18,1,1,414,23,1.8,140.6220313,12.74039581
17647,1,31,2,1,414,26,1.9,142.4986653,7.461449533
17712,1,31,2,1,414,21,1.9,166.3553471,10.87508855
17689,1,1,1,1,414,36,1.9,141.8645798,10.31005917
17711,1,31,2,1,414,21,1.7,143.419386,8.33389501
3283,2,1,2,1,414,31,1.1,165.0987209,13.38286301
17624,2,31,2,1,414,83,1.1,158.5444643,14.41897233
3286,2,1,2,1,414,31,1.4,157.3584783,13.5436837
17581,2,1,1,1,414,27,1.6,146.0957692,14.04888124
17569,2,31,1,1,414,93,1.4,153.3946748,13.4692842
3269,2,1,1,1,414,27,1.3,139.6416187,15.48261924
17518,2,31,2,1,414,78,1.2,164.0090171,8.915153432
17517,2,31,2,1,414,78,1.2,166.0541304,10.99324976
3201,2,31,1,1,414,65,1.5,160.711748,12.14714588
3211,2,18,1,1,414,22,1.8,143.3275874,16.87116242
3200,2,31,2,1,414,75,1.2,143.4115986,16.43978522
3246,2,31,1,1,414,67,1.6,158.5691667,11.66773795
3177,2,31,2,1,414,68,1.3,163.0188462,17.58072289
17500,2,31,2,1,414,66,1.1,179.6698077,10.90155148
17515,2,31,2,1,414,78,1.3,165.0227586,8.462755102
17490,2,31,1,1,414,65,1.3,167.0888197,17.72729871
3220,2,31,2,1,414,78,1.3,160.2156617,12.34285714
3184,2,31,1,1,414,20,1.6,168.2059836,14.07133293
17461,2,31,1,1,414,20,1.5,154.8712044,14.04993171
3185,2,31,1,1,414,20,1.6,157.2993284,14.34378137
3183,2,31,2,1,414,72,1.1,174.8141416,10.08022868
17430,2,31,1,1,414,63,1.6,164.2412548,14.80834893
17470,2,31,1,1,414,77,1.2,144.805,18.73878575
3224,2,1,1,1,414,62,1.4,153.430444,17.25015114
17460,2,31,2,1,414,69,1.5,150.6554181,13.02346018
17443,2,31,2,1,414,68,1.2,148.1383333,15.30677371
3191,2,31,1,1,414,77,1.2,156.5530597,16.25119911
3174,2,31,2,1,414,68,1.3,144.8569355,18.50177572
3199,2,31,2,1,414,75,1.4,156.865,13.18554217
3187,2,31,2,1,414,69,1.3,149.577069,15.802331
3223,2,1,1,1,414,62,1.7,149.8366418,15.86971556
17485,2,31,1,1,414,65,1.6,177.5122222,11.9280654
3171,2,31,2,1,414,68,1.4,141.780625,15.6305949
17634,1,31,1,1,414,82,1.6,136.904899,13.11988196
17536,1,1,1,1,414,29,1.4,130.9402101,12.78106509
17593,1,18,1,1,414,25,1.5,139.1453922,12.7666906
17592,1,18,1,1,414,25,1.5,132.4013636,11.91158741
17611,1,1,2,1,414,31,1.7,135.5435714,13.38832576
17580,1,31,2,1,414,70,1.8,130.2614912,11.52559948
17511,1,31,2,1,414,78,1.6,151.0935714,12.22338049
17498,1,1,2,1,414,114,1.5,146.0159615,11.57686883
17529,1,18,1,1,414,64,1.5,133.2397863,12.98323315
17591,1,30,1,1,414,80,1.8,127.9537931,11.34183673
3451,2,31,1,1,114,115,1.7,164.4586893,14.59978655
17838,2,31,1,1,114,115,1.8,143.683,14.57137757
3463,2,31,2,1,114,116,1.5,151.7340476,12.91017127
3464,2,31,2,1,114,116,0.9,154.8316667,19.34644652
3468,2,31,1,2,114,117,1.4,154.3992105,13.41279203
17852,2,31,1,2,114,117,1.6,146.0120874,10.3171825
3467,2,31,1,2,114,118,1,157.3273711,17.47914318
17850,1,31,2,1,114,116,1.8,140.932094,15.14710535
17851,1,31,1,2,114,117,1.7,144.115,11.3800769
17927,1,31,1,2,214,6,1.8,153.7316667,17.38889783
17911,1,30,2,2,214,89,2,153.3465789,13.41279203
17884,1,1,2,2,114,12,1.8,146.5767133,12.7255814
17910,1,31,2,2,214,86,1.8,134.8266623,14.08267653
17869,1,31,2,2,114,19,1.6,150.4019565,9.937897782
17868,1,31,3,2,114,9,2.1,142.8545161,11.72805755
17873,1,30,2,2,114,2,2.2,134.9112687,10.07116564
17872,1,31,2,2,114,3,2,140.8298089,9.400947867
17849,1,31,2,1,114,116,1.4,167.4730357,16.4916996
17861,1,31,1,2,114,15,2.1,147.7469328,9.372781065
