ID,parity, year-season at birth,TNB,NBA, litter weight at birth
3452,2,215,9,8,15
4093,1,215,14,14,21.3
4295,1,215,11,11,17.5
4226,1,215,14,14,20.6
3419,2,215,15,11,13.8
3832,1,215,17,15,20.3
3956,1,215,12,12,15.5
4082,1,215,12,11,15.9
4115,1,215,13,13,15.1
4381,1,215,9,9,12.5
3883,1,215,10,10,13.5
3942,1,215,13,9,11.3
3992,1,215,15,14,19.6
3990,1,215,15,15,18.3
3060,2,215,14,14,22.5
3892,1,215,15,11,17.7
3750,1,315,9,9,10.8
4307,1,315,15,10,10.6
4177,1,315,13,13,17.5
4145,1,315,7,6,7.9
4293,1,315,17,14,16.9
3982,1,315,13,8,11.9
4172,1,315,13,12,15.6
3466,2,315,16,14,22.7
4155,1,315,11,11,15.1
3346,2,315,19,18,15.5
3144,2,315,12,12,19.4
4363,1,315,11,11,18.1
3868,1,315,10,9,14.9
4173,1,315,9,8,12.6
4396,1,315,9,8,11.9
3791,1,315,14,11,15.7
4123,1,315,15,15,20.9
3427,2,315,13,13,19.8
4058,1,315,10,10,17
4219,1,315,14,13,18.3
4152,1,315,9,9,11.5
4098,1,315,12,12,18.3
3985,1,315,13,10,14.8
4277,1,315,13,10,12.8
4012,1,315,13,11,13.1
4035,1,315,16,14,18.4
4156,1,315,9,8,15.1
4180,1,315,9,9,14.3
3938,1,315,12,12,15.2
3923,1,315,15,15,18.7
3978,1,315,17,17,16.9
4080,1,315,13,13,17
3951,1,315,14,12,15.7
4338,1,315,15,13,14.1
4354,1,315,8,7,10.9
4312,1,315,12,12,15.7
4009,1,315,15,14,15.8
4241,1,315,12,12,12
3948,1,315,13,13,19.7
3375,2,315,15,12,11.8
3952,1,315,12,12,16.9
4166,1,315,4,4,5.8
4005,1,315,13,13,18
4213,1,315,8,7,11.7
3927,1,315,13,13,18.1
3728,1,315,17,17,21.2
3997,1,315,11,11,16.7
4114,1,315,10,9,14.9
4343,1,315,16,16,18.7
3961,1,315,17,12,13.3
3996,1,315,11,11,16.4
4357,1,315,10,10,13.9
4165,1,315,11,9,14.3
4303,1,315,11,8,10.4
4160,1,315,4,4,6.2
4092,1,315,18,11,10.6
4042,1,315,1,1,1.3
3494,2,315,17,15,20.6
3931,1,315,17,17,17.7
4089,1,315,14,14,22.2
3397,2,315,14,14,17.9
4304,1,315,14,14,17.6
4067,1,315,18,18,24.6
3782,1,215,15,13,21.7
3881,1,215,14,11,14.3
3488,2,315,15,15,14.3
4097,1,315,15,13,19.6
4085,1,315,11,10,13.2
3451,2,315,15,8,11.5
3495,2,315,16,16,23.6
4134,1,315,7,7,10.9
4016,1,315,8,8,13.3
4362,1,315,3,3,1.5
4075,1,315,12,12,15.2
4471,1,315,16,15,18.7
4074,1,315,12,12,16.5
4222,1,315,10,8,12.5
4259,1,315,10,9,8.2
4106,1,315,18,15,20.2
4153,1,315,13,12,15.9
4459,1,315,11,11,16.2
3071,3,315,16,15,21
4043,1,315,16,16,18.2
4454,1,315,15,14,21.5
4102,1,315,25,17,18.8
4247,1,315,16,16,18.3
3960,1,315,10,10,14.2
4218,1,315,14,12,18.3
4063,1,315,17,17,23
4399,1,315,10,9,14.3
4122,1,315,12,11,18.3
4070,1,315,16,16,18.9
3922,1,315,11,10,13.5
4021,1,315,14,14,18.4
4286,1,315,14,13,18.7
3939,1,315,14,14,17
3993,1,315,7,3,6.4
4334,1,315,17,17,20.6
3442,2,315,6,4,8.7
4118,1,315,14,12,11.2
4276,1,315,10,9,13.1
4170,1,315,10,9,15.1
3383,2,315,13,11,21.5
4523,1,315,16,15,16.8
3921,1,315,9,7,10.6
4370,1,315,11,11,17.2
3953,1,315,13,13,16.8
4275,1,315,16,11,14.9
4224,1,315,14,13,17.1
4253,1,315,11,11,17.3
4171,1,315,15,12,12.6
4050,1,315,11,11,11.4
3147,3,315,11,11,18.2
4194,1,315,13,13,22.5
4124,1,315,10,10,9.5
4143,1,315,11,9,15.9
3882,1,315,12,10,17.8
4084,1,315,14,13,20.6
4397,1,315,15,13,15.2
4039,1,315,13,13,14.2
3886,1,315,11,11,13.4
3477,2,315,15,14,23.5
3499,2,315,16,15,21.9
3618,1,315,19,15,22.8
3889,1,315,11,11,19.7
4361,1,315,14,14,17.9
3166,2,315,17,14,19
4386,1,315,11,9,16
4428,1,315,9,9,13.4
3994,1,315,15,12,12.7
3963,1,315,16,14,14.3
4474,1,315,6,6,6.9
3479,2,315,12,12,14
4554,1,315,14,13,17.2
4453,1,315,13,13,21.3
4169,1,315,13,11,17.8
4062,1,315,11,10,17.3
4047,1,315,13,13,15.3
3991,1,315,14,13,18.7
4137,1,315,17,15,17.8
4479,1,315,16,16,17.3
4185,1,315,13,13,17.5
4059,1,315,16,16,19.3
4476,1,315,13,11,12.9
4069,1,315,15,14,14.9
3734,1,315,17,15,21.5
4225,1,315,15,14,19.8
4011,1,315,14,13,17.1
4071,1,315,15,12,13.3
3924,1,315,12,12,17.4
3984,1,315,4,3,4.3
4280,1,315,11,8,10.2
3944,1,315,10,9,15.7
4131,1,315,11,9,15.7
4048,1,315,15,15,19.3
3297,2,315,13,12,20.1
3485,2,315,3,3,6.2
4091,1,315,8,7,10.4
4128,1,315,11,10,14.4
4461,1,315,14,13,16
4182,1,315,17,13,15.2
4032,1,315,16,12,17.1
3470,2,315,18,18,23.5
4350,1,315,13,12,20.1
4347,1,315,10,9,14.9
4126,1,315,13,12,18.7
4051,1,315,11,9,11.3
4339,1,315,8,7,10.1
4269,1,315,11,11,15.2
4030,1,315,5,5,7.6
4439,1,315,9,9,15.9
4116,1,315,11,11,16.8
4136,1,315,15,13,16.8
4158,1,315,11,10,17
4090,1,315,14,13,17.9
4120,1,315,14,14,18.2
4157,1,315,14,14,18.9
4302,1,315,14,12,17
3507,2,315,15,15,22.9
4415,1,315,13,12,17.6
4079,1,315,6,6,10.6
4480,1,315,14,13,16.1
3932,1,315,16,16,20.2
4223,1,315,14,10,14.5
4440,1,315,13,10,14.2
4285,1,315,20,14,18
4036,1,315,17,16,23
4335,1,315,10,10,15.6
4401,1,315,16,16,19.5
4112,1,315,15,15,21.7
4109,1,315,15,14,16.2
4260,1,315,17,17,22.8
4121,1,315,14,14,21.1
